what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349423193040
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1349423196800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423198497
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423206654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423210360
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423219502
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349423222584
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423223169
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423245558
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423269265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423274730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349423288975
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1349423290160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423291160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423292131
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423292816
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423303645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349423308616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349424980291
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349424981332
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1349424983940
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349424987325
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349424989076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425090147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349425110915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425119755
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425144002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425149233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425176341
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425181234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425211537
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1349425216187
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349425216609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1349425229937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425234042
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425260386
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1349425261597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425262459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1349425305878
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1349425308144
