what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1347946050841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347946052239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946054248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946057038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347946066054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946068195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946070374
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1347946077710
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347946082400
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1347946083835
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347946096676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946112670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946139169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347946141745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347946150460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946153287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946155432
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1347946163553
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347946176799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946193228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946209374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1347946211400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347946213046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946214928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946215002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347946216283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946218942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946221280
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1347946230358
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347946242542
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1347946255602
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1347946271635
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347946273245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946273863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1347946273887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946277927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946280310
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946291276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1347946322530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1347946324322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946326412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946328321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946330088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1347946381942
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1347946383443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1347946393854
